group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
5136,2019-07-31,17:47:43.515239,155.34375,155.34375,155.28125,155.28125,286,44412.75,155.28933566433565,-0.0625,-0.00040241449235267623,155.2680682510148,155.01510841515716,0.2529598358576379,1.0000000000000029,0.0068359375,0.6734693877551029,0.8099238707340582,0.006835937499999979,0,5136,-0.37997129571676885,-0.9227528348663052,0.08267972847076833,30.595145936778522,20.0,0.0,0.2727931097101266,1.7179727020810263,2.0,-0.9385127682105852,-0.01575993334427994,2.0,1.0,2.0,0.0,879.0,343.75,0,0,2.0,2.0,-125.0,20781.25,0.0,0.0,9860.0,10921.25,-125.0,187.5
5137,2019-07-31,17:55:36.029754,155.28125,155.3125,155.21875,155.21875,286,44403.875,155.2583041958042,-0.0625,-0.0004025764949702193,155.2571086396782,155.0213743100754,0.23573432960279206,1.0000000000000042,0.006640625000000001,3.3780276816608983,1.5734061168265903,0.006640624999999973,0,5137,-0.41950399592876375,-0.9385127682105852,0.08149003006503294,28.927996395959703,20.0,0.0,0.2727931097101266,1.7179727020810263,2.0,-0.9561699257796531,-0.01765715756906794,2.0,1.0,2.0,0.0,879.0,281.25,0,0,2.0,2.0,-125.0,20656.25,0.0,0.0,9860.0,10796.25,-125.0,-125.0
5138,2019-07-31,18:00:20.062960,155.21875,155.28125,155.03125,155.09375,286,44381.6875,155.18072552447552,-0.125,-0.00080563951990964,155.22080671974973,155.0236012543808,0.19720546536893835,1.000000000000032,0.0011718749999999989,2.9166666666666075,-1.2932338163316497,0.0011718749999999611,0,5138,-0.4690646393134779,-0.9561699257796531,0.03423265984407232,57.60740365113235,20.0,0.0,0.2727931097101266,1.7179727020810263,2.0,-0.9839118616678046,-0.027741935888151548,2.0,1.0,2.0,0.0,879.0,156.25,0,0,2.0,2.0,-250.0,20406.25,0.0,0.0,9860.0,10546.25,-250.0,-125.0
5139,2019-07-31,18:00:51.759133,155.09375,155.15625,155.03125,155.03125,287,44516.0,155.10801393728224,-0.0625,-0.00040306328639161393,155.17868300424982,155.02383660039987,0.15484640384994464,1.0000000000000246,0.0014648437500000002,2.0000000000000404,-1.3608276348795403,0.0014648437499999642,0,5139,-0.5694029052178822,-0.9839118616678046,0.03827327723098669,40.45809897997927,20.0,0.0,0.2727931097101266,1.7179727020810263,2.0,-0.9999820826898689,-0.016070221022064235,2.0,1.0,2.0,0.0,879.0,93.75,0,0,2.0,2.0,-125.0,20281.25,0.0,0.0,9860.0,10421.25,-125.0,-125.0
5140,2019-07-31,18:01:12.061245,155.03125,155.125,155.0,155.0,286,44340.3125,155.03605769230768,-0.03125,-0.0002015925820755271,155.1389756699721,155.02310316654143,0.11587250343066557,1.0000000000000049,0.00458984375,1.4350384789497497,0.4220089568642772,0.004589843749999977,0,5140,-0.7028612463206955,-0.9999820826898689,0.06774838558962108,17.10336009075573,17.10336009075573,0.0,0.2727931097101266,1.40145783084597,2.0,-0.9787575995107387,0.02122448317913017,2.0,1.0,2.0,0.0,879.0,62.5,0,0,2.0,2.0,-62.5,20218.75,0.0,0.0,9860.0,10358.75,-62.5,-62.5
5141,2019-07-31,18:01:32.435239,155.0,155.0,154.90625,154.96875,287,44473.75,154.96080139372822,-0.03125,-0.0002016332298397927,155.10114774331166,155.0214307614171,0.07971698189456333,1.0000000000000002,0.004589843749999999,-2.3675871435038487,0.5594072218898559,0.004589843749999998,0,5141,-0.8370577905675614,-0.9787575995107387,0.06774838558962124,11.766624577217327,11.766624577217327,0.0,0.2727931097101266,0.8183145314346683,1.0,-0.910680211013695,0.0680773884970437,2.0,1.0,2.0,0.0,879.0,31.25,0,0,2.0,2.0,-62.5,20156.25,-1.0,0.0,9860.0,10296.25,-62.5,-62.5
5142,2019-07-31,18:02:12.023781,154.9375,155.15625,154.9375,155.03125,286,44342.71875,155.04447115384616,0.0625,0.0004032258119153198,155.08561491146463,155.02173289183503,0.06388201962960238,0.9999999999999968,0.0041015625,-3.1632653061224514,-0.4414786044290978,0.004101562500000013,-1,5142,-0.9360624738726037,-0.910680211013695,0.06404344228724759,9.974794818660559,9.974794818660559,0.0,0.2727931097101266,0.6225218947680337,1.0,-0.8505832460818863,0.060096964931808716,-1.0,1.0,2.0,0.0,879.0,93.75,0,0,-1.0,2.0,125.0,20281.25,0.0,3.0,9867.5,10413.75,117.5,117.5
5143,2019-07-31,18:03:10.871290,155.03125,155.15625,155.0,155.125,287,44509.6875,155.08601916376307,0.09375,0.0006045340234486218,155.0943671533614,155.02491034131705,0.0694568120443364,0.9999999999999968,0.0041015625,-3.1632653061224514,-0.4414786044290978,0.004101562500000013,-1,5143,-0.9732785041583666,-0.8505832460818863,0.06404344228724759,10.845265270534455,10.845265270534455,0.0,0.2727931097101266,0.717637909053934,1.0,-0.7299604782196466,0.12062276786223969,-1.0,-1.0,-1.0,1.0,880.0,93.75,0,0,-1.0,-1.0,-93.75,20187.5,0.0,0.0,9867.5,10320.0,-93.75,117.5
5144,2019-07-31,18:03:31.659937,155.125,155.21875,155.125,155.21875,286,44376.53125,155.16269667832168,0.09375,0.0006041687828526321,155.12200778594774,155.03087463850733,0.09113314744041645,0.9999999999999916,0.00263671875,3.251028806584363,-1.7355817665801565,0.0026367187500000223,-1,5144,-0.9994599628878942,-0.7299604782196466,0.05134898976610954,17.74779754295469,17.74779754295469,0.0,0.2727931097101266,1.4718752950778353,2.0,-0.6561566353604626,0.07380384285918395,-1.0,-1.0,-1.0,0.0,880.0,187.5,0,0,-1.0,-1.0,-93.75,20093.75,1.0,0.0,9867.5,10226.25,-93.75,-93.75
5145,2019-07-31,18:04:10.213853,155.21875,155.25,155.15625,155.1875,286,44388.75,155.20541958041957,-0.03125,-0.00020134903923807457,155.1365616112927,155.0356938803994,0.10086773089329881,0.9999999999999989,0.007031249999999999,-1.53935185185185,-0.812645075156174,0.007031250000000006,0,5145,-0.9975730640077626,-0.6561566353604626,0.08385254915624216,12.029178827390485,12.029178827390485,0.0,0.2727931097101266,0.8470037462799664,1.0,-0.5790209449363595,0.07713569042410318,-2.0,-1.0,-1.0,0.0,880.0,156.25,0,0,-2.0,-1.0,31.25,20125.0,-1.0,1.0,9870.0,10255.0,28.75,28.75
