group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
5737,2019-08-02,13:01:44.622910,157.78125,157.78125,157.6875,157.71875,282,44477.8125,157.72273936170214,-0.0625,-0.0003961965186531913,157.8883284745482,158.1972856203001,-0.30895714575191846,1.0000000000000246,0.0007812499999999996,0.31250000000000827,-1.2577882373436324,0.0007812499999999803,0,5737,-0.5697435969827447,0.1782467069621777,0.02795084971874702,-110.53586880569739,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.20374837246116698,0.025501665498989273,3.0,-1.0,-3.0,0.0,969.0,-281.25,0,0,3.0,-3.0,187.5,24031.25,0.0,6.0,10802.5,13228.75,172.5,172.5
5738,2019-08-02,13:02:04.817025,157.71875,157.71875,157.5625,157.625,282,44453.875,157.63785460992906,-0.09375,-0.0005945892554519716,157.82981103575972,158.1796768319832,-0.3498657962234688,1.0000000000000133,0.0012695312500000003,-0.17751479289942415,-0.4047960089109369,0.0012695312499999836,0,5738,-0.5482021508822164,0.20374837246116698,0.03563048203434783,-98.19283272289097,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.277159864726231,0.07341149226506402,3.0,-1.0,3.0,1.0,970.0,-93.75,0,0,3.0,3.0,-281.25,23750.0,0.0,0.0,10802.5,12947.5,-281.25,172.5
5739,2019-08-02,13:02:27.224165,157.625,157.6875,157.5625,157.59375,281,44288.21875,157.6093193950178,-0.03125,-0.00019827500808489162,157.77735302781315,158.16164831407602,-0.38429528626286924,1.0000000000000038,0.00244140625,-1.1999999999999993,0.0,0.0024414062499999905,0,5739,-0.4834234174674536,0.277159864726231,0.04941058844013083,-77.7758975140535,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.3973143252592953,0.12015446053306428,3.0,-1.0,3.0,0.0,970.0,-125.0,0,0,3.0,3.0,-93.75,23656.25,0.0,0.0,10802.5,12853.75,-93.75,-93.75
5740,2019-08-02,13:02:48.554286,157.59375,157.65625,157.5625,157.59375,282,44446.3125,157.61103723404256,0.0,0.0,157.7365523549658,158.14417451979676,-0.40762216483096836,0.999999999999999,0.00361328125,-0.021913805697588867,-0.5901286563843656,0.0036132812500000036,0,5740,-0.36795592522754567,0.3973143252592953,0.06011057519272298,-67.8120552871228,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.5950483882937765,0.1977340630344812,3.0,-1.0,3.0,0.0,970.0,-125.0,0,0,3.0,3.0,0.0,23656.25,0.0,0.0,10802.5,12853.75,0.0,0.0
5741,2019-08-02,13:03:08.457474,157.59375,157.625,157.5625,157.625,282,44443.75,157.60195035460993,0.03125,0.00019827500808489162,157.7117629427512,158.12819991918764,-0.41643697643644373,0.999999999999988,0.0016601562499999997,-1.4878892733564004,-0.5413870509510853,0.0016601562500000197,-1,5741,-0.14753181026782144,0.5950483882937765,0.0407450150325168,-102.20562591622651,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.7255283224533776,0.13047993415960113,3.0,-1.0,3.0,0.0,970.0,-93.75,0,0,3.0,3.0,93.75,23750.0,0.0,0.0,10802.5,12947.5,93.75,93.75
5742,2019-08-02,13:03:29.230508,157.625,157.71875,157.59375,157.6875,282,44459.4375,157.65757978723406,0.0625,0.00039643211619289076,157.7063711776954,158.1146399216742,-0.40826874397882307,0.9999999999999618,0.0006835937500000001,-0.6122448979591925,-0.5122408325718826,0.0006835937500000261,-1,5742,0.02640054873140123,0.7255283224533776,0.02614562582919036,-156.15183459215967,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.8464757709956898,0.12094744854231221,3.0,-1.0,3.0,0.0,970.0,-31.25,0,0,3.0,3.0,187.5,23937.5,0.0,0.0,10802.5,13135.0,187.5,187.5
5743,2019-08-02,13:03:48.176613,157.71875,157.78125,157.6875,157.75,281,44320.9375,157.725756227758,0.0625,0.0003962750200461329,157.7160664715409,158.10342023177657,-0.38735376023566914,0.9999999999999618,0.0006835937500000001,-0.6122448979591925,-0.5122408325718826,0.0006835937500000261,-1,5743,0.22206584374836671,0.8464757709956898,0.02614562582919036,-148.1524147734138,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9002527398027171,0.053776968807027314,3.0,-1.0,3.0,0.0,970.0,31.25,0,0,3.0,3.0,187.5,24125.0,0.0,0.0,10802.5,13322.5,187.5,187.5
5744,2019-08-02,13:04:07.026722,157.75,157.8125,157.75,157.78125,282,44488.0625,157.75908687943263,0.03125,0.00019807863786613922,157.73055170008737,158.09350730156808,-0.3629556014807065,0.9999999999999917,0.005078124999999999,2.818047337278107,1.4926852828590798,0.005078125000000042,-1,5744,0.32872338825623554,0.9002527398027171,0.07126096406869642,-50.93329934896936,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.970140641314525,0.0698879015118079,3.0,-1.0,3.0,0.0,970.0,62.5,0,0,3.0,3.0,93.75,24218.75,0.0,0.0,10802.5,13416.25,93.75,187.5
5745,2019-08-02,13:04:40.840549,157.8125,157.8125,157.75,157.78125,281,44338.625,157.78870106761565,0.0,0.0,157.74181798895688,158.08389938459678,-0.3420813956398945,0.9999999999999953,0.00712890625,2.021017076374561,1.3385038869326549,0.007128906250000032,0,5745,0.5144891835538073,0.970140641314525,0.08443285053816454,-40.515201542943295,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9932110966345096,0.02307045531998453,3.0,-1.0,3.0,0.0,970.0,62.5,0,0,3.0,3.0,0.0,24218.75,0.0,0.0,10802.5,13416.25,0.0,93.75
5746,2019-08-02,13:05:31.614818,157.78125,157.96875,157.78125,157.96875,282,44524.65625,157.88885195035462,0.1875,0.0011876485956561211,157.79224732474427,158.0803563266092,-0.2881090018649388,0.9999999999999953,0.00712890625,2.021017076374561,1.3385038869326549,0.007128906250000032,-1,5746,0.6200514612297855,0.9932110966345096,0.08443285053816454,-34.12285621396976,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9998883882106133,0.00667729157610375,3.0,-1.0,3.0,0.0,970.0,250.0,0,0,3.0,3.0,562.5,24781.25,0.0,0.0,10802.5,13978.75,562.5,562.5
