group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
3628,2019-07-11,14:59:52,154.1875,154.25,154.125,154.15625,320,49341.21875,154.19130859375,-0.03125,-0.00020269585556320635,154.19770965220698,154.3398787855137,-0.14216913330670877,1.0000000000000067,0.00458984375,-0.7378904481665908,0.9127170462413431,0.004589843749999971,0,3628,-0.6431774670166517,-0.9962389340303183,0.06774838558962103,-20.984873967017293,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,-0.8255607039006988,0.17067823012961947,-2.0,1.0,-2.0,0.0,603.0,62.5,0,0,-2.0,-2.0,62.5,7062.5,-1.0,0.0,6915.0,147.5,62.5,62.5
3629,2019-07-11,15:08:36,154.15625,154.21875,154.125,154.15625,320,49337.03125,154.17822265625,0.0,0.0,154.188496396161,154.33422866903635,-0.1457322728753354,1.0000000000000269,0.0016601562499999997,2.6643598615916986,1.7143923280117699,0.001660156249999955,0,3629,-0.9827893479502818,-0.8255607039006988,0.040745015032516006,-35.76689633297122,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,-0.46516099968997277,0.36039970421072604,3.0,1.0,-2.0,0.0,603.0,62.5,0,0,3.0,-2.0,-0.0,7062.5,0.0,5.0,6927.5,135.0,-12.5,62.5
3630,2019-07-11,15:20:37.547036,154.1875,154.25,154.15625,154.21875,321,49498.34375,154.20044781931463,0.0625,0.0004053506338435042,154.19521941923637,154.33067547921988,-0.13545605998351107,1.0000000000000284,0.00146484375,2.0000000000000013,1.3608276348795436,0.0014648437499999581,-1,3630,-0.9548678739183775,-0.46516099968997277,0.03827327723098661,-35.39181114959339,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,-0.036978981585927086,0.42818201810404566,3.0,-1.0,3.0,1.0,604.0,62.5,0,0,3.0,3.0,187.5,7250.0,0.0,0.0,6927.5,322.5,187.5,187.5
3631,2019-07-11,15:34:37.621560,154.21875,154.25,154.15625,154.1875,320,49341.75,154.19296875,-0.03125,-0.00020265477828029788,154.1935039927394,154.32627007985928,-0.13276608711987592,1.000000000000021,0.0021484375,0.8677685950413228,0.5516180692881075,0.002148437499999955,0,3631,-0.7327712395921453,-0.036978981585927086,0.04635124054434741,-28.64348085632131,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.48955730061084995,0.5265362821967771,3.0,-1.0,3.0,0.0,604.0,31.25,0,0,3.0,3.0,-93.75,7156.25,0.0,0.0,6927.5,228.75,-93.75,187.5
3632,2019-07-11,15:44:46.489765,154.1875,154.25,154.15625,154.1875,320,49345.4375,154.2044921875,0.0,0.0,154.19216977213065,154.32200023124824,-0.12983045911758495,1.000000000000021,0.0021484375,0.8677685950413228,0.5516180692881075,0.002148437499999955,0,3632,-0.27040741111497374,0.48955730061084995,0.04635124054434741,-28.010136857797203,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.9987768748380113,0.5092195742271612,3.0,-1.0,3.0,0.0,604.0,31.25,0,0,3.0,3.0,0.0,7156.25,0.0,0.0,6927.5,228.75,0.0,0.0
3633,2019-07-11,15:49:23.370441,154.1875,154.1875,154.125,154.125,320,49325.21875,154.14130859375,-0.0625,-0.00040543280506710744,154.17724315610164,154.3159386856714,-0.13869552956975895,1.0000000000000588,0.0009765625,-2.9999999999999964,9.251858538542974e-16,0.0009765624999999425,0,3633,0.6712793905338447,0.9987768748380113,0.03124999999999908,-44.38256946232417,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.9688048552129416,-0.02997201962506968,-3.0,-1.0,3.0,0.0,604.0,-31.25,0,0,-3.0,3.0,-187.5,6968.75,0.0,6.0,6942.5,26.25,-202.5,0.0
3634,2019-07-11,15:54:26.814972,154.125,154.15625,154.09375,154.125,321,49474.125,154.125,0.0,0.0,154.16563356585684,154.31006364918923,-0.14443008333239504,1.0000000000000462,0.001171875,-3.3333333333333304,-0.6085806194501845,0.0011718749999999457,0,3634,0.8602871093825346,0.9688048552129416,0.03423265984407209,-42.190727799202946,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.9828597878459847,0.014054932633043138,3.0,-1.0,-3.0,1.0,605.0,0.0,0,0,3.0,-3.0,-0.0,6968.75,0.0,6.0,6957.5,11.25,-15.0,-15.0
3635,2019-07-11,15:58:10.819674,154.125,154.125,154.0625,154.0625,320,49311.21875,154.09755859375,-0.0625,-0.0004055972474983349,154.14271499566644,154.30244630613728,-0.1597313104708462,1.0000000000000362,0.0017578125000000003,-2.4074074074074034,0.16563466499998453,0.0017578124999999365,0,3635,0.8253452449794746,0.9828597878459847,0.0419262745781203,-38.09814062378053,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.09890416718052153,-0.8839556206654632,-3.0,-1.0,3.0,1.0,606.0,-62.5,0,0,-3.0,3.0,-187.5,6781.25,0.0,6.0,6972.5,-191.25,-202.5,-15.0
3636,2019-07-11,16:04:52.264969,154.0625,154.09375,154.0625,154.0625,321,49454.46875,154.063765576324,0.0,0.0,154.12488944107392,154.29506334287154,-0.17017390179762515,1.0000000000000364,0.0016601562499999997,-1.4878892733564086,-0.5413870509510866,0.0016601562499999397,0,3636,-0.6337040031540562,0.09890416718052153,0.04074501503251581,-41.76557590218607,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.20696055139428302,0.10805638421376149,3.0,-1.0,-3.0,1.0,607.0,0.0,0,0,3.0,-3.0,-0.0,6781.25,0.0,6.0,6987.5,-206.25,-15.0,-15.0
3637,2019-07-11,16:12:17.415716,154.0625,154.09375,153.96875,153.96875,320,49294.09375,154.04404296875,-0.09375,-0.0006087044927731711,154.09019178750194,154.28502293232168,-0.1948311448197444,1.0000000000000153,0.00361328125,-0.021913805697585314,0.5901286563843663,0.0036132812499999455,0,3637,-0.5454542068871066,0.20696055139428302,0.0601105751927225,-32.412124521365804,0.0,-20.0,-2.0542227472811083,-0.4479512787387341,-3.0,0.34652075816098404,0.13956020676670103,3.0,-1.0,3.0,1.0,608.0,-93.75,0,0,3.0,3.0,-281.25,6500.0,0.0,0.0,6987.5,-487.5,-281.25,-15.0
